filename,iteration,15.0bar uptake,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g
VASKOR_clean,0.0,2.6198124162,4.41725,4.15949,4.41175,1.1581700000000001,1130.8,976.3710000000001,0.0,0.0,0.53,0.45761999999999997,0.0
VICLAW_clean,0.0,1.4527901649,7.38415,6.2427,7.38415,1.11891,1046.87,935.6189999999999,0.0,0.0,0.5352,0.47832299999999994,0.0
VUQKAU01_clean,0.0,3.9708949706,4.81422,4.24964,4.81422,1.04625,1425.24,1362.23,0.0,0.0,0.5584,0.533714,0.0
WEFXEM_clean,0.0,3.4890014586,6.739310000000001,4.789969999999999,6.672689999999999,1.07497,1461.44,1359.51,0.0,0.0,0.5704,0.530617,0.0
WOPSAX02_clean,0.0,3.3480544983,11.614460000000001,10.878860000000001,11.61282,1.1230799999999999,1562.97,1391.69,0.0,0.0,0.6468,0.575919,0.0
WORKUL_clean,0.0,4.0544762879,8.46756,5.64741,8.46756,0.942685,2103.28,2231.16,0.0,0.0,0.6726,0.713494,0.0
WOYHUP_clean,0.0,5.0701022221,12.04583,5.92239,11.92324,0.785656,2290.99,2916.02,0.0,0.0,0.7288,0.927633,0.0
WUYXOF_clean,0.0,3.4074119742,9.05505,5.17643,9.05505,0.759045,1983.21,2612.77,0.0,0.0,0.6628,0.8732030000000001,0.0
XAFFIV_clean,0.0,4.3252482798,14.22916,13.193679999999999,14.22916,0.358398,1899.33,5299.5,0.0,0.0,0.8506,2.3733400000000002,0.0
XALCUJ_clean,0.0,2.3733225864,8.77917,3.81164,4.50991,0.9958379999999999,192.50900000000001,193.31400000000002,1019.4,1023.66,0.5598,0.562139,0.0
XASFAY_clean,0.0,2.7917063853,4.8406199999999995,3.9034699999999996,4.82463,0.9922549999999999,1242.53,1252.23,0.0,0.0,0.541,0.5452229999999999,0.0
XEJWUG_clean,0.0,2.0539042115,4.34072,3.4849099999999997,4.33485,1.56158,471.476,301.922,0.0,0.0,0.4076,0.261018,0.0
XEXLAP_clean,0.0,2.4000357329,8.64993,8.01633,8.63141,1.0685,1374.86,1286.72,0.0,0.0,0.5518,0.516424,0.0
XUBGUY_clean,0.0,3.5268406004,11.92741,6.17876,10.43844,0.841842,2109.15,2505.4,0.0,0.0,0.7154,0.8498040000000001,0.0
YUGZIK_clean,0.0,4.5069201909,11.91055,8.94015,11.87908,0.448758,2210.67,4926.21,0.0,0.0,0.8084,1.80142,0.0
YUHHIU_clean,0.0,3.8490296983,6.827960000000001,5.69487,6.827960000000001,0.8175600000000001,1884.13,2304.57,0.0,0.0,0.672,0.821958,0.0
